Agulha,Savalha,Carapau,Azalha,Besugo,Sargo,Robalo,Faneca,Bodião
1,1,1,1,1,2,1,1,1
1,2,2,2,2,4,2,2,2
2,3,2,2,3,6,3,4,4
2,4,3,3,4,9,4,6,6
3,6,4,4,6,12,6,9,9
4,8,5,5,8,16,7,12,12
5,10,6,6,10,20,9,16,16
6,13,7,7,12,25,11,21,21
8,16,9,8,14,30,14,26,26
9,19,10,10,17,36,16,31,32
11,23,12,11,20,42,19,38,38
13,27,14,13,23,49,22,44,46
15,32,16,15,26,56,25,52,54
17,37,18,17,30,64,29,60,62
19,43,20,19,34,72,33,68,72
22,49,23,21,38,81,37,78,82
25,56,26,24,42,91,41,88,93
28,64,29,26,47,101,46,98,105
32,72,32,29,52,112,51,110,117
35,81,35,32,58,123,56,122,131
40,91,39,35,64,135,62,135,145
44,102,43,39,70,148,68,148,160
49,113,47,42,77,161,74,163,176
54,126,51,46,84,175,81,178,193
60,139,56,50,92,190,88,194,211
66,153,61,54,100,205,96,211,230
73,168,67,59,108,221,104,228,250
80,184,73,63,117,238,112,247,270
88,201,79,68,127,255,121,266,292
96,219,86,73,137,273,130,286,315
105,238,93,79,147,292,140,307,338
115,258,100,84,158,311,150,329,363
125,279,108,90,169,331,160,352,389
136,301,117,96,182,352,171,376,415
147,325,126,102,194,373,182,400,443
160,349,135,109,207,395,194,426,472
173,375,145,116,221,418,206,452,502
187,402,155,123,235,441,219,480,533
201,430,166,130,250,465,232,508,565
217,459,177,138,265,490,246,538,598
233,490,189,146,281,516,260,568,632
251,522,202,154,298,542,275,600,668
269,555,215,163,315,569,290,632,704
288,590,228,172,333,597,306,666,742
308,626,242,181,351,626,322,701,781
329,664,257,191,370,655,339,737,821
351,703,272,201,390,685,356,774,862
374,744,288,211,411,716,374,812,905
398,786,305,222,432,748,392,852,948
423,830,322,233,454,781,411,892,993
449,876,340,244,476,814,431,934,1040
476,924,359,256,500,848,451,977,1087
504,973,378,268,524,883,472,1021,1136
534,1025,398,281,548,919,493,1067,1186
564,1078,419,294,574,956,515,1113,1238
596,1133,440,307,600,994,538,1161,1290
629,1190,462,321,627,1032,561,1210,1344
663,1249,485,335,655,1072,585,1261,1400
699,1310,509,350,683,1112,609,1312,1456
735,1373,533,365,712,1153,634,1365,1514
773,1438,558,381,742,1195,660,1419,1573
812,1505,584,397,773,1238,686,1474,1634
853,1574,611,413,804,1282,713,1531,1695
895,1645,638,430,836,1326,741,1589,1758
938,1718,667,448,869,1372,769,1648,1823
983,1794,696,466,903,1418,798,1708,1888
1029,1872,726,484,938,1465,828,1770,1955
1076,1952,757,503,973,1513,858,1833,2024
1125,2034,789,522,1010,1562,889,1897,2093
1176,2119,822,542,1047,1612,921,1963,2164
1228,2206,856,562,1085,1663,953,2030,2237
1282,2295,890,583,1124,1714,986,2098,2310
1337,2387,926,604,1164,1767,1020,2168,2385
1394,2481,962,626,1205,1820,1055,2239,2462
1453,2578,999,648,1246,1875,1090,2311,2539
1513,2677,1038,671,1289,1930,1126,2385,2618
1575,2779,1077,694,1332,1987,1163,2460,2699
1638,2884,1117,718,1376,2044,1201,2537,2780
1704,2991,1159,742,1422,2102,1239,2615,2863
1770,3101,1201,767,1468,2161,1278,2694,2948
1839,3214,1244,793,1515,2221,1318,2775,3033
1909,3330,1288,819,1563,2282,1359,2857,3121
1981,3448,1333,846,1612,2344,1400,2941,3209
2055,3570,1379,873,1662,2407,1442,3026,3299
2130,3694,1426,901,1713,2471,1485,3112,3390
2207,3822,1474,929,1765,2536,1528,3200,3483
2286,3953,1523,958,1818,2602,1572,3289,3577
2367,4086,1573,988,1872,2669,1617,3380,3672
2449,4223,1624,1018,1927,2737,1663,3472,3768
2534,4364,1676,1049,1983,2805,1710,3565,3866
2620,4507,1729,1080,2040,2875,1757,3660,3966
2708,4655,1783,1112,2098,2946,1805,3757,4066
2798,4806,1838,1145,2157,3018,1854,3855,4168
2890,4960,1894,1178,2217,3091,1904,3954,4272
2984,5118,1951,1212,2278,3165,1955,4055,4376
3080,5279,2009,1246,2340,3240,2006,4158,4483
3177,5444,2068,1281,2403,3316,2058,4262,4591
3277,5612,2128,1317,2467,3393,2111,4368,4701
3378,5784,2189,1353,2532,3471,2165,4475,4813
3481,5959,2252,1390,2598,3550,2220,4584,4926
3586,6138,2315,1428,2665,3630,2276,4695,5041
